year,level_1,level_2,level_3,value
2015,"$15,000 - $17,499","Total","Sembawang",1.8
2015,"$15,000 - $17,499","Total","Sengkang",4.5
2015,"$15,000 - $17,499","Total","Serangoon",2.4
2015,"$15,000 - $17,499","Total","Tampines",4.6
2015,"$15,000 - $17,499","Total","Tanglin",0.4
2015,"$15,000 - $17,499","Total","Toa Payoh",2.1
2015,"$15,000 - $17,499","Total","Woodlands",3.3
2015,"$15,000 - $17,499","Total","Yishun",2.7
2015,"$15,000 - $17,499","Total","Others",0.8
2015,"$17,500 - $19,999","Total","Ang Mo Kio",2
2015,"$17,500 - $19,999","Total","Bedok",3.5
2015,"$17,500 - $19,999","Total","Bishan",1.8
2015,"$17,500 - $19,999","Total","Bukit Batok",1.4
2015,"$17,500 - $19,999","Total","Bukit Merah",1.6
2015,"$17,500 - $19,999","Total","Bukit Panjang",1.6
2015,"$17,500 - $19,999","Total","Bukit Timah",1.9
2015,"$17,500 - $19,999","Total","Choa Chu Kang",2
2015,"$17,500 - $19,999","Total","Clementi",1.1
2015,"$17,500 - $19,999","Total","Geylang",1.2
2015,"$17,500 - $19,999","Total","Hougang",2.8
2015,"$17,500 - $19,999","Total","Jurong East",0.8
2015,"$17,500 - $19,999","Total","Jurong West",2.6
2015,"$17,500 - $19,999","Total","Kallang",0.9
2015,"$17,500 - $19,999","Total","Marine Parade",0.5
2015,"$17,500 - $19,999","Total","Novena",0.8
2015,"$17,500 - $19,999","Total","Outram",0.3
2015,"$17,500 - $19,999","Total","Pasir Ris",1.7
2015,"$17,500 - $19,999","Total","Punggol",2.1
2015,"$17,500 - $19,999","Total","Queenstown",0.9
2015,"$17,500 - $19,999","Total","Sembawang",1
2015,"$17,500 - $19,999","Total","Sengkang",2.7
2015,"$17,500 - $19,999","Total","Serangoon",1.5
2015,"$17,500 - $19,999","Total","Tampines",3.8
2015,"$17,500 - $19,999","Total","Tanglin",0
2015,"$17,500 - $19,999","Total","Toa Payoh",1.3
2015,"$17,500 - $19,999","Total","Woodlands",2.4
2015,"$17,500 - $19,999","Total","Yishun",1.9
2015,"$17,500 - $19,999","Total","Others",0.8
2015,"$20,000 & Over","Total","Ang Mo Kio",6.1
2015,"$20,000 & Over","Total","Bedok",15.1
2015,"$20,000 & Over","Total","Bishan",5.5
2015,"$20,000 & Over","Total","Bukit Batok",5.3
2015,"$20,000 & Over","Total","Bukit Merah",5.4
2015,"$20,000 & Over","Total","Bukit Panjang",4.4
2015,"$20,000 & Over","Total","Bukit Timah",10.6
2015,"$20,000 & Over","Total","Choa Chu Kang",4.3
2015,"$20,000 & Over","Total","Clementi",4.5
2015,"$20,000 & Over","Total","Geylang",3.3
2015,"$20,000 & Over","Total","Hougang",7.2
2015,"$20,000 & Over","Total","Jurong East",2.6
2015,"$20,000 & Over","Total","Jurong West",6
2015,"$20,000 & Over","Total","Kallang",4.6
2015,"$20,000 & Over","Total","Marine Parade",3.6
2015,"$20,000 & Over","Total","Novena",4.3
2015,"$20,000 & Over","Total","Outram",0.9
2015,"$20,000 & Over","Total","Pasir Ris",5.7
2015,"$20,000 & Over","Total","Punggol",1.7
2015,"$20,000 & Over","Total","Queenstown",4
2015,"$20,000 & Over","Total","Sembawang",1.9
2015,"$20,000 & Over","Total","Sengkang",6
2015,"$20,000 & Over","Total","Serangoon",8.3
2015,"$20,000 & Over","Total","Tampines",7.6
2015,"$20,000 & Over","Total","Tanglin",3.6
2015,"$20,000 & Over","Total","Toa Payoh",4.7
2015,"$20,000 & Over","Total","Woodlands",3.8
2015,"$20,000 & Over","Total","Yishun",3.4
2015,"$20,000 & Over","Total","Others",4.6
