,Population
Bahamas,422678
Belize,395882
Canada,37241800
Costa Rica,5003393
Dominican Republic,10266149
Greenland,56025
Cuba,11221060
Guatemala,17302084
Honduras,9012229
Mexico,124737789
Nicaragua,6284757
Jamaica,2728864
Haiti,11112945
Puerto Rico,3337177
Panama,4158783
El Salvador,6643359
United States,327929000
Trinidad and Tobago,1356633
